Timestamp,CPU Power (mW),GPU Power (mW),Total Power (mW)
2025-08-07 12:43:16,132.0,7.0,
2025-08-07 12:43:23,259.0,11.0,
2025-08-07 12:43:30,176.0,5.0,
2025-08-07 12:43:37,114.0,4.0,
2025-08-07 12:43:44,257.0,13.0,
2025-08-07 12:43:51,196.0,6.0,
2025-08-07 12:43:58,2144.0,41.0,
2025-08-07 12:44:05,3009.0,49.0,
2025-08-07 12:44:12,6253.0,37.0,
2025-08-07 12:44:22,676.0,9.0,
2025-08-07 12:44:29,623.0,14.0,
2025-08-07 12:44:36,5382.0,1700.0,
2025-08-07 12:44:43,10827.0,5321.0,
2025-08-07 12:44:51,10839.0,5458.0,
2025-08-07 12:44:58,11214.0,5230.0,
2025-08-07 12:45:06,10963.0,5424.0,
2025-08-07 12:45:13,10760.0,5635.0,
2025-08-07 12:45:21,10529.0,5816.0,
2025-08-07 12:45:28,10864.0,5513.0,
2025-08-07 12:45:36,11425.0,5341.0,
2025-08-07 12:45:44,10669.0,5753.0,
2025-08-07 12:45:51,12032.0,4946.0,
2025-08-07 12:45:59,11419.0,5607.0,
2025-08-07 12:46:06,11350.0,5559.0,
2025-08-07 12:46:14,10518.0,5957.0,
2025-08-07 12:46:22,10115.0,3293.0,
2025-08-07 12:46:29,10007.0,3927.0,
2025-08-07 12:46:39,8353.0,1323.0,
2025-08-07 12:46:51,8713.0,2199.0,
2025-08-07 12:47:04,7385.0,1253.0,
2025-08-07 12:47:16,9792.0,4862.0,
2025-08-07 12:47:24,8794.0,4140.0,
2025-08-07 12:47:32,8978.0,4583.0,
2025-08-07 12:47:40,6627.0,925.0,
2025-08-07 12:47:50,13507.0,16.0,
2025-08-07 12:48:00,14930.0,55.0,
2025-08-07 12:48:13,4184.0,18.0,
2025-08-07 12:48:20,665.0,13.0,
2025-08-07 12:48:27,508.0,8.0,
2025-08-07 12:48:34,220.0,13.0,
2025-08-07 12:48:41,120.0,7.0,
2025-08-07 12:48:48,170.0,6.0,
2025-08-07 12:48:55,181.0,7.0,
2025-08-07 12:49:02,172.0,6.0,
2025-08-07 12:49:09,129.0,6.0,
2025-08-07 12:49:16,121.0,6.0,
2025-08-07 12:49:23,134.0,5.0,
2025-08-07 12:49:30,337.0,16.0,
